
00MD1,AAJA0,Jayton(PAD),1.5,"1.5.5
",A09,DTP,A03,UMA,M5,"\","2019-11-28 19:02:51"
017GW,VAUA0,"Goliad 14 (Commercial)",1.9,A21,A14,TPM,"\","\","\","\",2017/8/14
01F0J,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,DTP,A00,DSC,I5-4310,"\",2017/8/29
038H8,AAPA0,"Miramar 15",2.1,1.16.3,A17,DTP,A00-A02,DSC,I7QC2,"\","2019-02-26 17:40:11"
042GC,DAZ20,"Steamboat 12 MLK",1.0,1.11.0,,TPM,,UMA,I5-7300U,,"2019-09-12 10:17:40"
04WK0,ZBZ00,"Goliad MLK 12 (E6)",1.9,21.1.1,A13,DTP,A06,UMA,I3-5010U,DOCK,"2019-12-10 08:57:43"
0569H,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,DTP,,UMA,I3-7130,,"2019-08-21 09:41:32"
057NK,ZAU70,"Crested Butte 13 ",1.1,21.1.1,"\",TPM,A00,"\",I5-5Y70,"\","2019-12-11 14:26:12"
079H2,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,DTP,,UMA,I3-8130,,"2019-08-21 09:41:32"
07KGN,VAL91,"Salado 14 DSC (commercial)",1.8,A18,A14,TPM,"\",UMA,"\","\",2017/9/25
07RJP,CDM80,"Breckenridge 15 U(Commercial),",1.5,1.16.0,A05,DTP,A00-A01,UMA,KI7-7600UV,"\","2019-09-24 14:03:45"
07RYD,DDA30,"KW 13 MLK",1.0,1.10.0,null,DTP,null,UMA,I3-8130U,,"2019-06-05 14:43:13"
081DR,QAL71,"Dalmore 14 Lite(commercial)",2.4,A06,A06,DTP,"\","\","\","\",2016/6/2
083K0,DDM80,"Breckenridge 15 MLK",1.0,1.10.1,,TPM,,UMA,I3-8130U,,"2019-08-21 09:41:32"
086T1,AAPB0,"Miramar 17",2.1,1.16.3,A17,DTP,A00-A02,DSC,E3-1505MV5,"\","2019-02-26 17:40:11"
08MP8,CAJ00,ASPEN(Commercial),1.0,1.7.7,A01,DTP,"\",UMA,"\","\","2019-11-04 08:46:30"
0C098,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,A00,UMA,SI5-6300UV,"\","2019-09-24 14:03:45"
0C140,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,TPM,A00,UMA,SI5-6200U,"\","2019-09-24 14:03:45"
0C144,CDP80,"Breckenridge 15H",1.5,1.16.0,A05,TPM,"A00-A01
",UMA,SI5-6440HV,"\","2019-09-24 14:11:17"
0C209,CDP80,"Breckenridge 15H",1.5,1.16.0,A05,TPM,A01,"\",SI5-6440HVT,"\","2019-09-24 14:11:17"
0C211,CDP81,"Breckenriger 15P",1.5,1.16.0,A05,TPM,"A01
","\",SI5-6440HVT,"\","2019-09-24 14:11:17"
0C220,CDP81,"Breckenriger 15P",1.5,1.16.0,A05,TPM,"A01
","\",SI7-6820HVT,"\","2019-09-24 14:11:17"
0C244,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,DTP,A00,UMA,SI5-6300UV,"\","2019-09-24 14:03:45"
0C245,CDM80,"Breckenridge 15U",1.5,1.16.0,A05,DTP,A00,UMA,SI5-6200U,"\","2019-09-24 14:03:45"
0C276,CDP80,"Breckenridge 15H",1.5,1.16.0,A05,DTP,A00,UMA,SI5-6440HV,"\","2019-09-24 14:11:17"
0C324,CDP80,"Breckenridge 15H",1.5,1.16.0,A05,DTP,A01,"\",SI5-6440HVT,"\","2019-09-24 14:11:17"
